producto_cotizado_id,clasificacion_id
1,56
2,37
2,45
2,54
3,37
3,45
3,54
4,37
4,45
4,54
5,37
5,54
6,44
7,44
8,44
9,44
10,56
11,44
12,44
13,44
14,56
15,55
16,55
17,55
18,44
19,33
19,37
20,45
21,30
22,30
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,56
34,56
35,56
36,35
37,35
38,35
39,35
40,35
41,35
42,35
43,35
44,38
45,37
46,37
46,45
47,37
48,37
48,45
49,37
50,37
50,45
51,37
52,37
53,37
54,37
55,37
56,37
56,45
57,37
58,37
59,33
59,35
59,39
60,34
61,34
62,34
63,34
64,34
65,34
66,34
67,34
68,34
69,34
70,34
71,34
72,34
73,40
74,40
75,37
75,45
76,37
76,45
77,37
77,45
78,37
78,45
79,37
79,45
80,33
81,33
82,33
83,33
84,30
84,33
85,33
86,33
87,33
88,33
89,56
90,56
91,33
92,36
93,33
94,33
95,33
96,33
97,33
98,33
99,33
100,33
101,33
102,33
103,33
104,33
105,33
106,33
107,33
108,33
109,56
110,56
111,56
112,56
113,31
114,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
126,31
127,31
128,31
129,32
130,31
131,31
132,31
133,50
134,29
135,44
136,49
137,44
138,55
139,55
140,45
141,45
142,45
143,45
144,30
145,30
146,30
147,30
148,30
149,30
150,30
151,30
152,30
153,33
153,35
154,33
154,35
155,35
156,35
157,35
158,35
159,35
160,35
161,35
162,35
163,35
164,35
165,35
165,39
165,40
166,38
167,38
168,38
169,38
170,38
171,38
172,38
173,38
174,37
175,37
176,37
177,37
177,45
178,37
179,37
180,37
180,45
181,37
182,37
183,37
184,33
184,34
185,33
185,34
186,33
186,35
186,39
187,34
188,34
189,34
190,34
191,34
192,34
193,34
194,34
195,37
195,45
196,42
196,45
197,33
198,30
198,33
199,33
200,33
201,33
202,56
203,33
204,33
205,33
206,36
207,33
208,33
209,33
210,33
211,33
212,30
212,33
213,33
214,33
215,33
216,33
217,33
218,33
219,56
220,56
221,31
222,31
222,38
223,31
224,31
225,31
226,31
227,31
228,31
229,31
230,31
231,31
232,31
233,31
234,32
235,32
236,31
237,56
238,37
238,54
239,37
239,54
240,29
241,37
241,54
242,56
243,54
244,56
245,56
246,56
247,30
247,33
247,54
248,55
249,55
250,45
251,45
252,45
253,45
254,45
255,45
256,56
257,56
258,30
259,30
260,30
261,30
262,30
263,30
264,30
265,30
266,30
267,30
268,30
269,30
270,30
271,30
272,56
273,56
274,56
275,56
276,56
277,35
278,35
279,35
280,35
281,35
282,35
283,35
284,35
285,35
286,35
287,35
288,35
289,35
290,35
291,35
291,39
291,40
292,38
293,38
294,38
295,38
296,38
297,38
298,38
299,38
300,38
301,38
302,38
303,38
304,38
305,37
305,45
306,37
307,37
308,37
309,37
310,37
311,37
312,37
313,37
314,37
315,33
315,35
315,39
316,34
317,34
318,34
319,34
320,34
321,52
322,52
323,52
324,52
325,52
326,52
327,40
328,37
328,45
329,37
329,45
330,37
330,45
331,43
332,33
333,33
334,30
334,33
335,30
335,33
336,33
337,33
338,33
339,33
340,33
341,33
342,36
343,36
344,36
345,36
346,36
347,36
348,36
349,36
350,36
351,36
352,36
353,33
354,33
355,33
356,33
357,33
358,33
359,33
360,30
360,33
361,33
362,33
363,33
364,33
365,33
366,33
367,56
368,56
369,56
370,56
371,56
372,56
373,56
374,56
375,56
376,56
377,56
378,31
378,38
379,31
380,31
381,31
382,31
383,31
384,31
385,31
386,31
387,31
388,31
389,32
390,31
391,31
392,31
393,32
394,31
395,31
396,32
397,31
398,31
399,30
400,56
401,37
401,54
402,56
403,56
404,44
405,56
406,38
407,38
408,45
409,30
410,30
411,30
412,30
413,30
414,30
415,30
416,30
417,30
418,30
419,30
420,30
421,30
422,30
423,30
424,30
425,30
426,30
427,30
428,30
429,30
430,30
431,30
432,30
433,30
434,35
435,35
436,35
437,35
438,35
439,35
440,35
441,35
442,35
443,35
444,35
445,35
446,56
447,38
448,37
449,37
450,33
450,35
450,39
451,34
452,34
453,34
454,34
455,34
456,34
457,34
458,34
459,30
459,33
460,33
461,33
462,33
463,33
464,33
465,33
466,30
466,33
467,33
468,30
468,33
469,30
469,33
470,33
471,33
472,33
473,33
474,33
475,31
476,31
477,31
478,31
479,31
480,32
480,33
481,31
482,31
483,30
484,30
485,35
486,35
487,37
488,37
489,33
490,56
491,31
492,38
493,35
494,35
495,35
496,35
497,38
498,37
499,33
499,35
499,39
500,34
501,34
502,34
503,40
504,37
504,45
505,33
506,33
507,33
508,36
509,36
510,33
511,33
512,33
513,33
514,31
515,31
516,31
517,50
518,44
519,30
520,30
521,35
522,35
523,35
524,35
525,38
526,52
527,33
528,33
529,33
530,33
531,31
532,30
533,30
534,30
535,38
536,33
537,38
538,30
538,33
539,31
540,37
540,54
541,56
542,30
543,30
544,30
545,30
546,30
547,30
548,30
549,35
550,35
551,38
552,34
553,34
554,34
555,34
556,37
556,45
557,33
558,33
559,56
560,30
561,30
562,30
563,30
564,35
565,35
566,35
567,38
568,38
569,34
570,34
571,34
572,30
572,33
573,30
573,33
574,30
574,33
575,31
576,56
577,49
578,56
579,56
580,44
581,56
582,45
583,49
584,33
585,56
586,56
587,30
588,37
589,34
590,34
591,52
592,36
593,36
594,36
595,56
596,56
597,39
598,39
598,50
599,56
600,56
601,31
602,31
603,31
604,31
605,32
606,38
607,30
608,30
609,30
610,35
611,35
612,35
613,35
614,36
615,31
616,31
617,32
618,30
619,33
619,35
619,39
620,38
621,38
622,37
623,30
624,35
625,35
626,34
627,31
628,31
629,35
630,34
631,56
632,36
633,38
634,56
635,56
636,56
637,56
638,56
639,38
640,30
641,56
642,38
643,33
644,31
645,31
646,45
647,45
648,56
649,56
650,56
651,49
652,51
653,56
654,35
655,38
656,56
657,31
658,32
659,32
660,35
661,35
662,34
663,35
